Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-51627;806478;OKR1.2 Aumentar em 15% as consultas/transações nos canais digitais (exceto saúde);Em Progresso;PI#4DIG;PI#5DIG;;0.0;15;0;"O1 Expandir a oferta de serviços digitais, promovendo melhor experiência e autonomia aos clientes";KR1.2 Aumentar em 15% as consultas/transações nos canais digitais (exceto saúde);Ciclo 2025;;;;;;;VS_Clientes;;0.0;Digital;SGTIJIRA01-51632;SGTIJIRA01-51633;SGTIJIRA01-51631;SGTIJIRA01-58150;SGTIJIRA01-58152;SGTIJIRA01-58151;SGTIJIRA01-51629;;;;;;;;;;;;;;SGTIJIRA01-51630;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51625;806205;"OKR2.1.1.3 Garantir uma comunicação transparente, ágil e assertiva com o corretor  fornecendo informações precisas e em tempo hábil.";Em Progresso;PI#8BAR;;;2.0;3;0;"O2.1.1 Garantir uma comunicação transparente, ágil e assertiva com o corretor  fornecendo informações precisas e em tempo hábil.";KR2.1.1.3 Aumentar de 2 para 3 o número de comunicações de pagamento refletidas para o corretor no ramo de Automóvel;Ciclo 2025;3;;BAR Jornada de Comunicação;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARNISA04-353;SBARNISA04-402;SGTIJIRA01-51090;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51624;806204;"OKR1.1.1.4 Fortalecer a comunicação assertiva com clientes para reduzir a inadimplência, garantindo abordagens estratégicas, personalizadas e humanizadas que reforçam a importância dos pagamentos em dia.";Em Progresso;PI#8BAR;;;0.0;10;0;"O1.1.1 Fortalecer a comunicação assertiva com clientes para reduzir a inadimplência, garantindo abordagens estratégicas, personalizadas e humanizadas que reforçam a importância dos pagamentos em dia.";KR1.1.1.4 Reduzir em 10% os clientes inadimplentes;Ciclo 2025;3;;BAR Jornada de Comunicação;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;SGTIJIRA01-51087;;;;;;;;;;;;;;;;;;;;SBARNISA04-353;SBARNISA04-401;SBARNISA04-375;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51623;806203;"OKR1.1.1.3 Fortalecer a comunicação assertiva com clientes para reduzir a inadimplência, garantindo abordagens estratégicas, personalizadas e humanizadas que reforçam a importância dos pagamentos em dia.";Em Progresso;PI#8BAR;;;0.0;50;0;"O1.1.1 Fortalecer a comunicação assertiva com clientes para reduzir a inadimplência, garantindo abordagens estratégicas, personalizadas e humanizadas que reforçam a importância dos pagamentos em dia.";KR1.1.1.3 Atingir uma taxa de 50% de leitura da carta de inadimplência;Ciclo 2025;3;;BAR Jornada de Comunicação;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;SGTIJIRA01-51087;;;;;;;;;;;;;;;;;;;;SBARNISA04-375;SBARNISA04-353;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51620;805507;"OKR3.1.2.1 - Melhorar a lucratividade do produto Capital de Giro | Atualizar a precificação do CaGiro em x%";FINALIZADO;PI#16BVP;;;0.0;1;1;O3.1.2 Melhorar a lucratividade do produto Capital de Giro;KR3.1.2.1 Atualizar a precificação % do produto do CaGiro;Ciclo 2025;1;Atingiu a Meta;BVP Prestamista;;Medição ao final do 2º trim;Não;VS_AqRent_Prestamista;;100.0;BVP;SDIGVSBV00-39227;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51402;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51609;802295;"OKR1.4.1.1 Ser uma fonte confiável de dados unificada do RE para companhia; Ter maior rapidez e escalabilidade para prover dados para tomada de decisões da companhia.";Em Progresso;PI#8BAR;;;0.0;5;0;"O1.4.1 Ser uma fonte confiável de dados unificada do RE para companhia; Ter maior rapidez e escalabilidade para prover dados para tomada de decisões da companhia.";KR1.4.1.1 Aquisição de 5% de dados transacionais (RE);Ciclo 2025;3;;BAR Infraestrutura e Ingestão;;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51111;SBARADAR08-257;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51608;800676;OKR1.3.2.1 Migrar objetos do MicroStrategy para o PowerBI adequando as novas diretrizes da Bradesco Seguros.;Em Progresso;PI#8BAR;;;0.0;11;1;O1.3.2 Migrar objetos do MicroStrategy para o PowerBI adequando as novas diretrizes da Bradesco Seguros.;KR1.3.2.1 Construção de 11 objetos no PowerBI;Ciclo 2025;3;;BAR Migração de Painéis;;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;9.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARADAR07-253;SBARADAR07-247;SBARADAR07-248;SBARADAR07-239;SBARADAR07-238;SBARADAR07-249;SBARADAR07-244;SBARADAR07-254;SBARADAR07-246;SBARADAR07-256;SBARADAR07-245;SBARADAR07-255;SBARADAR07-241;SBARADAR07-240;SBARADAR07-250;SBARADAR07-14;SBARADAR07-243;SBARADAR07-242;SBARADAR07-18;SBARADAR07-251;SBARADAR07-252;SGTIJIRA01-51110;SBARADAR07-286;SBARADAR07-411;SBARADAR07-415;;
SGTIJIRA01-51607;800675;OKR1.2.4.1 Ampliar capacidade analítica a partir de dados de Auto.;FINALIZADO;PI#8BAR;;;2.0;4;4;O1.2.4 Ampliar capacidade analítica a partir de dados de Auto.;KR1.2.4.1 Construir 2 produtos de dados de AUTO.;Ciclo 2025;1;Atingiu a Meta;BAR Evolução da Jornada de dados de AUTO;;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARADAR05-140;SGTIJIRA01-51109;SBARADAR08-317;SBARADAR05-194;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51606;800674;OKR1.2.3.1 Ampliar capacidade analítica a partir de dados de RE.;Em Progresso;PI#8BAR;;;4.0;6;4;O1.2.3 Ampliar capacidade analítica a partir de dados de RE.;KR1.2.3.1 Construir 2 produtos de dados de RE.;Ciclo 2025;3;;BAR Evolução da Jornada de dados de RE;;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARADAR06-383;SBARADAR06-379;SBARADAR06-359;SBARADAR06-364;SGTIJIRA01-51109;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51605;800673;"OKR1.1.2.1 Ser uma fonte confiável de dados do AUTO unificada para companhia; Ter maior rapidez e escalabilidade para prover dados para tomada de decisões da companhia.";FINALIZADO;PI#8BAR;;;0.0;50;50;"O1.1.2 Ser uma fonte confiável de dados do AUTO unificada para companhia; Ter maior rapidez e escalabilidade para prover dados para tomada de decisões da companhia.";KR1.1.2.1 Ingerir 50% dos dados de Auto;Ciclo 2025;1;Atingiu a Meta;BAR Infraestrutura e Ingestão;;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51108;SBARADAR08-317;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51604;800672;OKR1.6.1.1 Ser uma fonte confiável de dados unificada para companhia;Em Progresso;PI#8BAR;;;0.0;15;0;O1.6.1 Ser uma fonte confiável de dados unificada para companhia;KR1.6.1.1 Diminuir em 15% as inconsistências de data quality do ambiente;Ciclo 2025;3;;"BAR Infraestrutura e Ingestão
BAR Evolução da Jornada de dados de RE
BAR Evolução da Jornada de dados de AUTO";;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARADAR08-198;SBARADAR06-354;SBARADAR06-369;SBARADAR06-374;SBARADAR05-188;SBARADAR05-183;SGTIJIRA01-51603;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51603;800671;"OKR1.6 Modernizar e escalar a infraestrutura analítica, promovendo uma cultura data-driven que otimize processos, acelere decisões baseadas em dados e gere valor contínuo para o negócio";Em Progresso;PI#8BAR;;;20.0;50;0;"O1 Modernizar e escalar a infraestrutura analítica, promovendo uma cultura data-driven que otimize processos, acelere decisões baseadas em dados e gere valor contínuo para o negócio";KR1.6 Criar soluções de data quality para diminuir em 50% as inconsistências do ambiente;Ciclo 2025;1;;BAR Infraestrutura e Ingestão (Cross);;Medição ao final do 4º trim;Não;VS_Gestão_de_dados;;0.0;BARE;SGTIJIRA01-51604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51602;800670;OKR1.2.1.1  Melhorar o processo de abertura e acompanhamento dos avisos de sinistro residenciais;FINALIZADO;PI#8BAR;;;15.0;23;23;O1.2.1 Melhorar o processo de abertura e acompanhamento dos avisos de sinistro residenciais;KR1.2.1.1 Implantar melhorias em 8 jornadas de aviso e acompanhamento de sinistro residenciais;Ciclo 2025;2;Atingiu a Meta;BAR Modernização de Aviso Sinistro;;Medição ao final do 4º trim;Não;Sinistro_RE;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARSREF00-175;SBARSREF00-181;SBARSREF00-3;SBARSREF00-180;SGTIJIRA01-51166;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51601;800669;OKR1.1.4.2 Facilitar a gestão de processos e simplificar a regulação de sinistro;FINALIZADO;PI#8BAR;;;0.0;1;1;O1.1.4 Facilitar a gestão de processos e simplificar a regulação de sinistro;KR1.1.4.2 Habilitar a abertura do aviso e regulação de um novo produto;Ciclo 2025;3;;"BAR Gestão de Sinistro RE
";;Medição ao final do 4º trim;Não;Sinistro_RE;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARSIRE00-796;SGTIJIRA01-51165;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51600;800668;OKR1.1.4.1 Facilitar a gestão de processos e simplificar a regulação de sinistro;Em Progresso;PI#8BAR;;;0.0;3;1;O1.1.4 Facilitar a gestão de processos e simplificar a regulação de sinistro;KR1.1.4.1 Automatizar 3 jornadas de regulação;Ciclo 2025;3;;"BAR Gestão de Sinistro RE
";;Medição ao final do 4º trim;Não;Sinistro_RE;;33.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARSIRE00-786;SBARSIRE00-793;SBARSIRE00-787;SBARSIRE00-760;SGTIJIRA01-51165;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51599;800702;OKR1.1.3.1 Transformar experiência e jornada do Cliente e Corretor;Em Progresso;PI#8BAR;;;2.2;2;"2,2";O1.1.3 Transformar experiência e jornada do Cliente e Corretor;"KR1.1.3.1 Diminuir percentual de manifestação para menor que 2%. Percentual inicial maio/25: 2,2%";Ciclo 2025;3;;"BAR Integração Aviso e Acompanhamento
BAR Habilitação e Modernização de Novos Produtos Auto";;Medição ao final do 4º trim;Não;Sinistro_AUTO;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARWSAF00-2640;SBARWSAF00-2636;SBARGSRE08-11;SBARGSRE08-5;SGTIJIRA01-51162;SBARWSAF00-2538;SBARGSRE08-34;SBARWSAF00-2541;SBARWSAF00-2620;SBARGSRE08-37;;;;;;;;;;;;;;;;;
SGTIJIRA01-51598;800612;"OKR1.1.4.1 Aprimorar a jornada de adesão do seguro através de um fluxo de emissão online para pagamentos à vista, pix e cartão de crédito.";Em Progresso;PI#8BAR;;;0.0;2;0;"O1.1.4 Aprimorar a jornada de adesão do seguro através de um fluxo de emissão online para pagamentos à vista, pix e cartão de crédito.";KR1.1.4.1 Disponibilizar a emissão online para todas as contratações à vista dos produto RE pré-formatados para 2 formas de pagamento (PIX e cartão de crédito);Ciclo 2025;3;;BAR Parcerias & Multicálculo RE;;Medição ao final do 4º trim;Não;Parcerias_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBAROPBR00-1328;SGTIJIRA01-51154;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51597;800611;"OKR1.1.3.1 Aprimorar a jornada de pagamentos por meio da integração via API, com um modelo mais atualizado e em linha com a estratégia de mercado.";Em Progresso;PI#8BAR;;;0.0;1;0;"O1.1.3 Aprimorar a jornada de pagamentos por meio da integração via API, com um modelo mais atualizado e em linha com a estratégia de mercado.";KR1.1.3.1 Implementar uma API para listar as parcelas do seguro com seu detalhamento de status;Ciclo 2025;3;;BAR Parcerias & Multicálculo RE;;Medição ao final do 4º trim;Não;Parcerias_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBAROPBR00-2085;SGTIJIRA01-51154;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51596;800337;OKR1.3.1.2 Diminuir despesas com sinistro;Em Progresso;PI#8BAR;;;0.0;75;0;O1.3.1 Diminuir despesas com sinistro AUTO;KR1.3.1.2 Diminuir despesas com a Orizon automatizando 75% do serviço;Ciclo 2025;3;;BAR Gestão do Sinistro Auto;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;Sinistro_AUTO;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51174;SBARGSRE04-590;SBARGSRE04-107;SBARGSRE04-711;SBARGSRE04-578;SBARGSRE04-114;SBARGSRE04-581;SBARGSRE04-591;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51595;800336;OKR1.3.1.1 Diminuir despesas com sinistro;Em Progresso;PI#8BAR;;;0.0;30;0;O1.3.1 Diminuir despesas com sinistro AUTO;KR1.3.1.1 Diminuir despesas com despachantes internalizando 30% do serviço;Ciclo 2025;3;;BAR Gestão do Sinistro Auto;;Medição ao final do 4º trim;Não;Desenvolvimento_Produto_AUTO;Sinistro_AUTO;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARGSRE04-725;SBARGSRE04-573;SBARGSRE04-717;SGTIJIRA01-51174;SBARGSRE04-720;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51589;800036;OKR1.2.4.1 Otimizar processos para potencializar a produção dos produtos Negociáveis;Em Progresso;PI#8BAR;;;0.0;5;4;O1.2.4 Otimizar processos para potencializar a produção dos produtos Negociáveis;KR1.2.4.1 Atender 5 demandas da área de produtos;Ciclo 2025;3;;"BAR Comercialização RE Negociável
BAR Produtos RE Negociáveis";;Medição ao final do 4º trim;Não;Desenvolvimento_Comercialização_Produto_RE;;80.0;BARE;;;;;;;;;;;;;;;;;;;;;SBAREBIX00-1754;SBARREBP05-185;SBARREBP05-118;SBAREBIX00-1753;SBARREBP05-152;SBARREBP05-146;SBARREBP05-184;SGTIJIRA01-51135;SBARREBP05-227;SBARREBP05-288;SBARREBP05-240;SBARREBP05-239;SBARREBP05-270;SBARREBP05-195;;;;;;;;;;;;;
SGTIJIRA01-51588;800035;OKR1.1.1.2 Aumentar a competitividade no mercado;Em Progresso;PI#8BAR;;;0.0;1;0;O1.1.1 Aumentar a competitividade no mercado;KR1.1.1.2 Implantar API para contratação do novo seguro residencial PET pre formatado;Ciclo 2025;3;;BAR Parcerias e Multicálculo RE;;Medição ao final do 4º trim;Não;Desenvolvimento_Comercialização_Produto_RE;Parcerias_RE;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBAROPBR00-2084;SGTIJIRA01-51134;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51587;800034;OKR1.1.1.1 Aumentar a competitividade no mercado;Em Progresso;PI#8BAR;;;0.0;1;0;O1.1.1 Aumentar a competitividade no mercado;KR1.1.1.1 Implantar novo seguro residencial PET;Ciclo 2025;3;;BAR Produtos RE Digitais;;Medição ao final do 4º trim;Não;Desenvolvimento_Comercialização_Produto_RE;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARAFND04-9;SBARAFND04-237;SBARAFND04-7;SBARAFND04-238;SGTIJIRA01-51134;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51586;799502;OKR1.4.6.1 Melhorar a jornada de endosso do parceiro;Em Progresso;PI#8BAR;;;0.0;1;0;O1.4.6 Melhorar a jornada de endosso do parceiro;KR1.4.6.1 Disponibilizar 1 opção de endosso para multicálculos (alteração de dados do seguro);Ciclo 2025;3;;BAR Multicálculo AUTO;;Medição ao final do 4º trim;Não;VS_Parcerias_Auto;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51127;SBARWSBL02-2996;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51585;799501;OKR1.4.5.1 Aumentar o alcance da comercialização de seguros Bradesco em parceiros;Em Progresso;PI#8BAR;;;0.0;2;0;O1.4.5 Aumentar o alcance da comercialização de seguros Bradesco em parceiros;"KR1.4.5.1 Habilitar a integração de 2 novos Multicálculos (CAMED, COMPARA ONLINE)";Ciclo 2025;3;;BAR Multicálculo AUTO;;Medição ao final do 4º trim;Não;VS_Parcerias_Auto;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51127;SBARWSBL02-2997;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51584;799500;OKR1.4.4.1 Proporcionar uma experiência fluida e personalizada na gestão dos seguros AUTO realizados com a BARE;FINALIZADO;PI#8BAR;;;0.0;1;1;O1.4.4 Proporcionar uma experiência fluida e personalizada na gestão dos seguros AUTO realizados com a BARE;KR1.4.4.1 Implementar melhoria nos serviços complementares para a parceria SICREDI;Ciclo 2025;1;Atingiu a Meta;"BAR Parcerias AUTO
";;Medição ao final do 4º trim;Não;VS_Parcerias_Auto;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51127;SBARWSBL04-1492;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51583;799499;"OKR1.3.2.1 Entregar APIs para otimizar a entrega de serviços, melhorar a escalabilidade promovendo inovação e agilidade nas operações.";Em Progresso;PI#8BAR;;;0.0;1;0;"O1.3.2 Entregar APIs para otimizar a entrega de serviços, melhorar a escalabilidade promovendo inovação e agilidade nas operações.";KR1.3.2.1 Realizar o rollout da API de cotação do seguro de automóvel individual na nuvem da Azure;Ciclo 2025;3;;BAR Modernização APIs Auto;;Medição ao final do 4º trim;Não;VS_Parcerias_Auto;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARWSBL03-3037;SGTIJIRA01-51124;SBARWSBL03-3038;SBARWSBL03-3052;SBARWSBL03-3176;SBARWSBL02-3078;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51582;799498;OKR1.1.2.1 Proporcionar uma experiência fluida e personalizada na contratação e gestão do seguro AUTO Integrado no ecossistema Bradesco;Em Progresso;PI#8BAR;;;0.0;2;0;O1.1.2 Proporcionar uma experiência fluida e personalizada na contratação e gestão do seguro AUTO Integrado no ecossistema Bradesco;KR1.1.2.1 Implementar melhorias nos serviços para atender 2 jornadas no ecossistema Bradesco;Ciclo 2025;3;;BAR Parcerias AUTO;;Medição ao final do 4º trim;Não;VS_Parcerias_Auto;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARWSBL04-888;SBARWSBL04-1416;SBARWSBL04-1418;SBARWSBL04-1417;SGTIJIRA01-51122;SBARWSBL04-1280;SBARWSBL02-3245;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51579;798461;"OKR2.3.3.2 Fortalecer a inteligência e evolução do chat de IA e assegurar a rastreabilidade das interações, permitindo análise histórica, auditoria de atendimento e identificação de oportunidades de melhoria na experiência e no conteúdo.";Em Progresso;PI#8BAR;;;0.0;100;0;"O2.3.3 Fortalecer a inteligência e evolução do chat de IA e assegurar a rastreabilidade das interações, permitindo análise histórica, auditoria de atendimento e identificação de oportunidades de melhoria na experiência e no conteúdo.";KR2.3.3.2 Permitir a consulta de 100% das interações ocorridas no chat da IA;Ciclo 2025;3;;BAR IA Generativa no suporte a corretores BARE;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARIARA01-56;SGTIJIRA01-51092;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51578;798460;"OKR2.3.3.1 Fortalecer a inteligência e evolução do chat de IA e assegurar a rastreabilidade das interações, permitindo análise histórica, auditoria de atendimento e identificação de oportunidades de melhoria na experiência e no conteúdo.";Em Progresso;PI#8BAR;;;0.0;100;0;"O2.3.3 Fortalecer a inteligência e evolução do chat de IA e assegurar a rastreabilidade das interações, permitindo análise histórica, auditoria de atendimento e identificação de oportunidades de melhoria na experiência e no conteúdo.";KR2.3.3.1 Registrar 100% das interações ocorridas no chat da IA;Ciclo 2025;3;;BAR IA Generativa no suporte a corretores BARE;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51092;SBARIARA01-57;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51577;798459;"OKR2.3.2.1 Facilitar a gestão e a curadoria da base de conhecimento do chat com IA, garantindo a atualização contínua e manutenção dos conteúdos";FINALIZADO;PI#8BAR;;;0.0;1;1;"O2.3.2 Facilitar a gestão e a curadoria da base de conhecimento do chat com IA, garantindo a atualização contínua e manutenção dos conteúdos";KR2.3.2.1 Disponibilizar na intranet a ferramenta para realizar a gestão de documentos da base de conhecimento;Ciclo 2025;3;;BAR IA Generativa no suporte a corretores BARE;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51092;SBARIARA01-53;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51576;798458;"OKR2.3.1.1 Aprimorar a jornada do corretor no portal por meio da implementação de um chat com IA Generativa, visando aumentar a eficiência no atendimento e agilizar a resolução de dúvidas";FINALIZADO;PI#8BAR;;;0.0;1;1;"O2.3.1 Aprimorar a jornada do corretor no portal por meio da implementação de um chat com IA Generativa, visando aumentar a eficiência no atendimento e agilizar a resolução de dúvidas";KR2.3.1.1 Disponibilizar no portal o chat com IA Generativa;Ciclo 2025;3;;BAR IA Generativa no suporte a corretores BARE;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51092;SBARIARA01-55;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51575;798457;"OKR2.2.6.1 Aprimorar entregas com base em feedbcaks táticos dos corretores, focando em ações práticas e evolutivas";Em Progresso;PI#8BAR;;;0.0;7;0;"O2.2.6 Aprimorar entregas com base em feedbcaks táticos dos corretores, focando em ações práticas e evolutivas";KR2.2.6.1 Realizar ajustes em layouts e filtros nos cards de apólice auto e RE;Ciclo 2025;3;;BAR Navegação Contextual;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARNAVE00-1946;SGTIJIRA01-51091;SBARNAVE00-1656;SBARNAVE00-1948;SBARNAVE00-1947;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51574;798456;OKR2.2.5.1 Transformar a experiência do corretor reduzindo a jornada e facilitando o acesso a documentos;FINALIZADO;PI#8BAR;;;6.0;4;6;O2.2.5 Transformar a experiência do corretor reduzindo a jornada e facilitando o acesso a documentos;KR2.2.5.1 Reduzir de 6 para 4 o número de cliques na jornada do corretor para acessar documentos nos produtos Residencial sob medida;Ciclo 2025;3;;BAR Navegação Contextual;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;100.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARNAVE00-1359;SGTIJIRA01-51091;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51572;798454;"OKR2.2.4.1 Transformar a experiência do corretor no portal, oferecendo mais agilidade e clareza na consulta as informações sobre apólice RE";Em Progresso;PI#8BAR;;;0.0;3;2;"O2.2.4 Transformar a experiência do corretor no portal, oferecendo mais agilidade e clareza na consulta as informações sobre apólice RE";"KR2.2.4.1 Disponibilizar no portal 3 novas funcionalidades ( resumo de apólice, endosso e histórico financeiro) para os produtos residencial sob medida.";Ciclo 2025;3;;BAR Navegação Contextual;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;66.7;BARE;;;;;;;;;;;;;;;;;;;;;SBARNAVE00-1356;SBARNAVE00-1357;SBARNAVE00-1324;SGTIJIRA01-51091;SBARNAVE00-1322;SBARNAVE00-1358;SBARNAVE00-1323;SBARNAVE00-1325;SBARNAVE00-1320;SBARNAVE00-1321;;;;;;;;;;;;;;;;;
SGTIJIRA01-51571;798453;"OKR1.4.1.1 Promover uma jornada fluida e consistente para reduzir demandas operacionais e manter o cliente informado, com mais autonomia.";Em Progresso;PI#8BAR;;;9.0;10;0;"O1.4.1 Promover uma jornada fluida e consistente para reduzir demandas operacionais e manter o cliente informado, com mais autonomia.";KR1.4.1.1 Aumentar de 9 para 10 as comunicações  na jornada de onboarding;Ciclo 2025;3;;BAR Jornada de Comunicação;;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;0.0;BARE;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51168;SBARNISA04-85;SBARNISA04-402;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51569;798451;OKR1.2.3.1 Ampliar a disponibilização de assistência auto no app;Em Progresso;PI#8BAR;;;0.0;3;1;O1.2.3 Ampliar a disponibilização de assistência auto no app;"KR1.2.3.1 Implantar 3 jornadas de assistência AUTO ( Reparo rápido | super marteinho, agenda do carro, troca de vidro | farol | retrovisor)";Ciclo 2025;3;;"BAR Aplicativo Bradesco Seguros Cliente - Funcionalidades Bare
";;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;33.0;BARE;;;;;;;;;;;;;;;;;;;;;SBARABSC00-2613;SGTIJIRA01-51088;SBARABSC00-2623;SBARABSC00-2650;;;;;;;;;;;;;;;;;;;;;;;
